classifier,Score,C-value,Execution Time
RBF SVM,0.0,0.66,0.21346020698547363
RBF SVM,0.0,0.67,0.21880736351013183
RBF SVM,0.0,0.68,0.2508377552032471
RBF SVM,0.0,0.69,0.23927996158599854
RBF SVM,0.0,0.7,0.22592308521270751
RBF SVM,0.0,0.71,0.20771429538726807
RBF SVM,0.0,0.72,0.21750192642211913
RBF SVM,0.0,0.73,0.22228145599365234
RBF SVM,0.0,0.74,0.22515668869018554
RBF SVM,0.0,0.75,0.22490639686584474
RBF SVM,0.0,0.76,0.21874916553497314
RBF SVM,0.0,0.77,0.22908234596252441
RBF SVM,0.0,0.78,0.2234368085861206
RBF SVM,0.0,0.79,0.2283085823059082
RBF SVM,0.0,0.8,0.21980006694793702
RBF SVM,0.0,0.81,0.22283177375793456
RBF SVM,0.0,0.82,0.22987477779388427
RBF SVM,0.0,0.83,0.21475670337677003
RBF SVM,0.0,0.84,0.2135920763015747
RBF SVM,0.0,0.85,0.23486106395721434
RBF SVM,0.0,0.86,0.22673497200012208
RBF SVM,0.0,0.87,0.23541812896728515
RBF SVM,0.0,0.88,0.21988062858581542
RBF SVM,0.0,0.89,0.21895241737365723
RBF SVM,0.0,0.9,0.2143000602722168
RBF SVM,0.0,0.91,0.22294814586639405
RBF SVM,0.0,0.92,0.2356879949569702
RBF SVM,0.0,0.93,0.2250007152557373
RBF SVM,0.0,0.94,0.2205583095550537
RBF SVM,0.0,0.95,0.233331036567688
RBF SVM,0.0,0.96,0.22201478481292725
RBF SVM,0.0,0.97,0.217873477935791
RBF SVM,0.0,0.98,0.21629278659820556
RBF SVM,0.0,0.99,0.22763981819152831
RBF SVM,0.0,1.0,0.22968659400939942
